STATION;LON;LAT;HEIGHT
Univalle;-76,53388889;3,378;996
Lomitas;-76,55625;3,075388889;1001
Bengala;-76,41447222;3,262805556;983
Gja_exp_hoeschst;-76,43333333;3,633333333;950
Union;-76,06216667;4,531222222;934
Apto_Farfan;-76,22358333;4,090083333;980
Aeropuerto;-76,37947032;3,510177295;964
Amaime;-76,2562697;3,636320517;1050
Arroyohondo;-76,5017663;3,530580683;960
Bocas_del_Palo;-76,47910669;3,267874454;960
Buga;-76,28730956;3,969997952;936
Bugalagrande;-76,18388889;4,203099459;941
Candelaria;-76,07988889;4,480916667;945
Cartago;-76,00992071;4,703630173;920
Cenicana;-76,29997327;3,360381992;1001
Corinto;-76,31763309;3,112437968;1070
Distrito_RUT;-76,01819567;4,564972286;912
El_Naranjo;-76,39828198;3,180975364;980
El_Tiple;-76,42478927;3,341359745;962
Ginebra;-76,27366477;3,687085252;990
Guacari;-76,32542886;3,773825817;1020
Guachinte;-76,56018118;3,166226748;982
Jamundi;-76,54196781;3,274437753;969
La_Paila;-76,08448152;4,324612885;930
La_Virginia;-75,89741111;4,908627486;907
Melendez;-76,49824648;3,356214401;960
Miranda;-76,28398454;3,258058091;1050
Ortigal;-76,34868136;3,270071014;1020
Palmira_la_Rita;-76,27771485;3,574429108;960
Palmira_San_Jose;-76,26434416;3,521416862;959
Pradera;-76,234741;3,400928058;1020
PTAR_Cali;-76,47868965;3,469463943;951
Riofrio;-76,28671139;4,127220019;1100
Rozo;-76,36353337;3,611375921;981
San_Marcos;-76,45394721;3,60425093;960
Santander_de_Quilichao;-76,47365854;3,062927619;1000
Tulua;-76,2335362;4,051759081;960
Viterbo;-75,85463015;5,03147126;946
Yotoco;-76,36853822;3,881610953;960
Zarzal;-76,077228;4,416436045;950
